OrdemPad;OrdemEns;N;cv;rho;p;algorithm;Cost;SL;Smax;Smin
470;1;5;0,25;0,7;0;NM;152993,61;89,88;[397.2654856684437, 575.7171241719723, 535.8452989787397, 1038.5008081180397, 660.4119425659904];[221.6896732987889, 463.7362156871882, 441.47401004335796, 47.83355313504789, 646.3943394281191]
395;2;20;0,25;0,9;0,15;GA;185110,00;98,29;[16.21, 145.28, 369.86, 666.66, 717.44, 478.14, 437.37, 544.38, 130.51, 168.8, 888.57, 69.21, 813.2, 190.98, 230.71, 247.69, 122.64, 633.93, 404.05, 709.47];[14.685170030467107, 86.30906598073835, 314.33274379780886, 478.26379994726136, 480.3149864483198, 293.67961213912116, 228.7044330140769, 228.78750684904523, 56.67389116678034, 48.08328804889847, 143.61124663540184, 35.05858675594362, 584.4070500081546, 167.0230084753182, 226.2375917425487, 237.48690484029038, 58.80863930379241, 113.50096176088212, 286.03218661023595, 592.5219584148821]
376;3;20;0,25;0,8;0;ACO;174332,05;98,12;[790.0, 670.0, 90.0, 570.0, 160.0, 345.0, 190.0, 460.0, 950.0, 860.0, 280.0, 70.0, 405.0, 775.0, 85.0, 295.0, 40.0, 455.0, 735.0, 445.0];[255.0, 285.0, 5.0, 470.0, 135.0, 190.0, 75.0, 355.0, 290.0, 515.0, 60.0, 35.0, 20.0, 115.0, 50.0, 35.0, 20.0, 110.0, 390.0, 15.0]
312;4;10;0,5;0,8;0,15;ACO;124730,28;98,07;[455.0, 230.0, 855.0, 465.0, 330.0, 115.0, 285.0, 930.0, 895.0, 175.0];[240.0, 65.0, 735.0, 330.0, 285.0, 30.0, 240.0, 855.0, 575.0, 15.0]
968;5;10;0,5;0,9;0,05;ACO;108410,72;98,8;[425.0, 850.0, 480.0, 630.0, 310.0, 175.0, 410.0, 285.0, 885.0, 170.0];[240.0, 330.0, 375.0, 395.0, 130.0, 170.0, 90.0, 30.0, 685.0, 105.0]
64;6;20;0,25;0,9;0;ACO;170090,48;99,99;[225.0, 445.0, 485.0, 350.0, 340.0, 380.0, 245.0, 580.0, 715.0, 715.0, 770.0, 120.0, 335.0, 115.0, 295.0, 625.0, 735.0, 335.0, 350.0, 575.0];[225.0, 120.0, 355.0, 55.0, 205.0, 40.0, 90.0, 395.0, 535.0, 340.0, 180.0, 110.0, 235.0, 40.0, 120.0, 295.0, 480.0, 110.0, 125.0, 330.0]
465;7;5;0,1;0,9;0,15;RD;69559,86;99,35;[580.8111166873379, 893.6899466541346, 365.2909660399011, 610.2987303625692, 376.2830265383861];[509.30894571654954, 626.5782904729883, 129.76349794109484, 521.0509227984679, 332.9167157152452]
292;8;10;0,5;0,7;0;ACO;132535,78;96,25;[520.0, 530.0, 830.0, 805.0, 920.0, 675.0, 280.0, 860.0, 355.0, 475.0];[375.0, 220.0, 745.0, 205.0, 450.0, 290.0, 250.0, 140.0, 210.0, 95.0]
708;9;20;0,25;0,8;0,15;ACO;174413,73;95,48;[925.0, 155.0, 575.0, 280.0, 340.0, 345.0, 515.0, 965.0, 355.0, 905.0, 150.0, 340.0, 265.0, 220.0, 360.0, 105.0, 305.0, 55.0, 35.0, 195.0];[180.0, 25.0, 130.0, 20.0, 300.0, 110.0, 410.0, 190.0, 330.0, 210.0, 135.0, 5.0, 195.0, 115.0, 245.0, 60.0, 155.0, 5.0, 20.0, 105.0]
231;10;10;0,1;0,8;0;GA;110231,09;99,31;[891.6, 521.87, 760.5, 902.12, 793.52, 984.73, 775.94, 517.13, 278.33, 697.99];[410.68091149881985, 242.2262951688974, 627.5052323829891, 122.26174266697313, 280.79325749041783, 528.7948610127852, 612.4728200592178, 201.7418245998103, 225.93508694503558, 687.4338837296528]
