OrdemPad,OrdemEns,N,cv,rho,p,algorithm,Cost,SL,Smax,Smin
470,1,5,0.25,0.7,0,NM,103489.4075,99.0942318,"[1399.2144498433697, 1658.7649880363933, 1042.2330337527308, 747.286206980608, 1686.2127523827885]","[1201.4368902951483, 914.7239732900387, 639.5877517955154, 739.3379748244363, 435.15644577269865]"
395,2,20,0.25,0.9,0.15,GA,169395.3874,99.50613499,"[19.15, 647.49, 517.56, 565.54, 956.18, 150.72, 443.71, 73.75, 523.08, 44.31, 554.91, 74.34, 809.63, 502.19, 967.79, 18.21, 549.7, 341.57, 687.08, 151.83]","[10.583031607135657, 44.2029800442084, 136.92541039273365, 176.64457358768658, 277.0562906936106, 48.365424121307846, 232.78495368895355, 59.374898694891755, 424.3185167241786, 7.319402773613951, 208.68809481402238, 18.429985859764233, 221.15276951405482, 381.10128269346194, 827.5365250944916, 15.602061856873165, 359.1462459790723, 181.74173366025565, 368.7313376464325, 111.89870556980519]"
376,3,20,0.25,0.8,0,ACO,160969.9226,98.73199042,"[270.0, 215.0, 635.0, 545.0, 520.0, 330.0, 610.0, 165.0, 370.0, 230.0, 850.0, 115.0, 190.0, 140.0, 135.0, 680.0, 855.0, 95.0, 115.0, 690.0]","[60.0, 155.0, 560.0, 490.0, 510.0, 280.0, 185.0, 20.0, 125.0, 205.0, 390.0, 40.0, 85.0, 40.0, 45.0, 295.0, 370.0, 30.0, 15.0, 0.0]"
312,4,10,0.5,0.8,0.15,ACO,100176.4338,99.33047909,"[365.0, 455.0, 715.0, 155.0, 255.0, 325.0, 555.0, 380.0, 950.0, 100.0]","[175.0, 260.0, 585.0, 125.0, 75.0, 155.0, 285.0, 235.0, 500.0, 5.0]"
968,5,10,0.5,0.9,0.05,ACO,105675.7818,99.66966617,"[825.0, 490.0, 935.0, 635.0, 860.0, 865.0, 395.0, 215.0, 205.0, 275.0]","[435.0, 120.0, 655.0, 345.0, 770.0, 395.0, 145.0, 105.0, 80.0, 40.0]"
64,6,20,0.25,0.9,0,ACO,178758.0723,99.56367535,"[700.0, 105.0, 155.0, 515.0, 250.0, 300.0, 535.0, 245.0, 220.0, 925.0, 400.0, 300.0, 265.0, 790.0, 720.0, 890.0, 840.0, 420.0, 445.0, 585.0]","[535.0, 15.0, 35.0, 85.0, 75.0, 60.0, 370.0, 135.0, 90.0, 350.0, 60.0, 105.0, 245.0, 475.0, 75.0, 385.0, 680.0, 195.0, 275.0, 540.0]"
465,7,5,0.1,0.9,0.15,RD,71023.14198,99.61065206,"[781.6402598888826, 928.3102678947372, 630.8007468037881, 328.3438952707306, 689.293677461052]","[376.38532081551716, 849.2715110973056, 603.9352242852439, 283.2101754927116, 349.2591504806923]"
292,8,10,0.5,0.7,0,ACO,134373.4824,96.89641718,"[195.0, 835.0, 915.0, 525.0, 335.0, 245.0, 765.0, 480.0, 630.0, 305.0]","[95.0, 810.0, 895.0, 520.0, 30.0, 15.0, 325.0, 425.0, 415.0, 145.0]"
708,9,20,0.25,0.8,0.15,ACO,162260.9922,96.51495875,"[480.0, 340.0, 365.0, 710.0, 835.0, 275.0, 310.0, 410.0, 145.0, 185.0, 35.0, 255.0, 315.0, 885.0, 75.0, 210.0, 215.0, 240.0, 585.0, 555.0]","[330.0, 165.0, 295.0, 245.0, 355.0, 90.0, 75.0, 280.0, 110.0, 10.0, 0.0, 225.0, 100.0, 405.0, 40.0, 75.0, 75.0, 55.0, 400.0, 400.0]"
231,10,10,0.1,0.8,0,GA,109521.2167,98.13431771,"[421.01, 115.5, 381.72, 725.21, 410.16, 146.59, 687.02, 314.12, 0.04, 919.83]","[355.60450317465126, 67.32541859929613, 202.30923575874957, 605.0808957235149, 297.05181855213254, 111.1106426928923, 521.6197571166775, 235.43024681837625, 0.011667731925108202, 238.57094767151074]"
