OrdemPad,OrdemEns,N,cv,rho,mod,algorithm,Cost,SL,Smax,Smin
470,1,5,0.25,0.7,Low,NM,191880.0278,84.75111524,"[577.4574258612781, 424.94976046807386, 555.264711486886, 422.81617395058163, 416.74193688660904]","[357.7907210658241, 237.99517715559685, 457.6085369298615, 290.695365538945, 150.57116006752196]"
395,2,3,0.25,0.9,High,GA,85123.89114,95.11603213,"[549.17, 817.6, 333.67]","[43.2191662387644, 718.8981927618091, 257.1948769633148]"
376,3,3,0.25,0.8,Low,ACO,124607.4343,91.08783118,"[545.0, 925.0, 935.0]","[490.0, 730.0, 390.0]"
312,4,10,0.5,0.8,High,ACO,130493.2565,96.86079869,"[960.0, 380.0, 540.0, 865.0, 900.0, 405.0, 100.0, 625.0, 780.0, 100.0]","[505.0, 355.0, 365.0, 360.0, 345.0, 345.0, 85.0, 15.0, 160.0, 80.0]"
968,5,10,0.5,0.9,Medium,ACO,118124.7671,98.55589538,"[315.0, 585.0, 265.0, 725.0, 70.0, 815.0, 100.0, 445.0, 230.0, 935.0]","[185.0, 290.0, 95.0, 190.0, 50.0, 80.0, 15.0, 330.0, 175.0, 10.0]"
64,6,3,0.25,0.9,Low,ACO,52315.54323,99.70975893,"[780.0, 625.0, 980.0]","[725.0, 425.0, 565.0]"
465,7,5,0.1,0.9,High,RD,73267.98323,99.02194865,"[965.9068102764531, 341.0479402347878, 914.1128311534125, 503.37812474748665, 216.65733146573973]","[818.4174904392249, 185.33430671281343, 827.0417159035488, 457.73057255903296, 113.92979840639212]"
292,8,10,0.5,0.7,Low,ACO,127961.221,97.39114384,"[855.0, 375.0, 620.0, 430.0, 350.0, 730.0, 950.0, 695.0, 510.0, 750.0]","[785.0, 100.0, 560.0, 405.0, 225.0, 720.0, 195.0, 565.0, 295.0, 540.0]"
708,9,3,0.25,0.8,High,ACO,144075.5809,90.2580873,"[980.0, 440.0, 850.0]","[850.0, 360.0, 520.0]"
231,10,10,0.1,0.8,Low,GA,118252.0141,98.77349451,"[202.61, 973.78, 685.76, 268.9, 692.07, 95.84, 539.73, 35.52, 583.89, 332.93]","[1.8793576629024737, 661.1180238975659, 397.7794115282563, 174.62766266701203, 611.9684184388714, 28.913473494792928, 191.71371051959466, 23.834484205660136, 420.7911968152457, 294.0619374180062]"
417,11,3,0.5,0.8,High,RD,117376.1347,93.59150996,"[907.6285081599043, 363.9305346863225, 941.2892081217786]","[859.4551425552021, 278.38213762259227, 452.0151025438167]"
624,12,10,0.5,0.7,High,ACO,205937.928,89.25659249,"[495.0, 365.0, 735.0, 600.0, 880.0, 70.0, 190.0, 785.0, 185.0, 890.0]","[355.0, 310.0, 350.0, 565.0, 305.0, 45.0, 165.0, 735.0, 160.0, 215.0]"
414,13,3,0.5,0.8,Medium,NM,181272.925,85.05889005,"[696.7045629868854, 810.5187813267537, 803.239930738713]","[73.42309850507986, 276.7346877745625, 347.70295564279155]"
861,14,5,0.5,0.9,High,RD,76312.30167,98.48016649,"[951.9030804135763, 237.04930080550713, 486.11014806129225, 166.07623311823895, 758.3389163270574]","[480.1929625503694, 174.1423195662848, 133.45570871540346, 154.13105642527253, 240.06191383174945]"
5,15,3,0.1,0.7,Medium,RD,235061.6563,79.83016708,"[710.2337750009046, 884.6375593070103, 782.4154362352737]","[520.5009920343349, 648.6877789355692, 734.4001822101596]"
287,16,10,0.25,0.9,High,GA,104179.7521,99.96558486,"[730.47, 283.48, 688.06, 115.48, 137.37, 97.28, 533.56, 378.11, 96.89, 111.32]","[664.816115399006, 243.63383976179003, 545.0501577623056, 102.94758806043231, 109.6346451346475, 49.171862300987414, 487.66328160254153, 348.30136228523617, 81.93341376526635, 22.390133233206974]"
87,17,3,0.5,0.8,Low,GA,102446.8748,94.80570354,"[494.67, 646.89, 179.95]","[26.304489642020272, 607.2483277653961, 76.83405427657523]"
707,18,3,0.25,0.8,High,GA,160600.4144,86.76822576,"[691.04, 180.74, 172.91]","[13.09178332612149, 36.243882026359486, 133.18546068439215]"
139,19,5,0.1,0.9,Medium,GA,70425.08777,99.14065029,"[74.69, 585.69, 132.94, 225.57, 9.65]","[28.47330121511065, 575.5604900882546, 67.69819826780136, 140.96598154271157, 5.9586358222579205]"
903,20,10,0.25,0.7,Low,GA,138694.3559,95.00246982,"[78.86, 453.32, 433.85, 637.39, 178.55, 797.95, 667.98, 719.48, 166.87, 571.57]","[66.81314471959435, 151.67171590282476, 350.6160099954063, 537.0071213679004, 155.42145485561198, 709.9139701516415, 118.64158796991006, 164.80011289161806, 32.191925914134266, 364.1230051768381]"
699,21,3,0.25,0.8,Low,GA,121615.5691,91.4649552,"[919.92, 140.84, 261.82]","[57.22229269279546, 94.89396263720656, 69.75100370581757]"
503,22,5,0.25,0.9,High,GA,140367.5399,92.82624633,"[804.12, 698.06, 426.42, 806.34, 256.25]","[260.7235531271963, 500.97685621370965, 347.0269238646052, 777.6720586485515, 230.71860509941473]"
280,23,10,0.25,0.9,Low,ACO,109074.715,99.1163745,"[590.0, 305.0, 670.0, 780.0, 375.0, 645.0, 560.0, 445.0, 360.0, 545.0]","[85.0, 85.0, 445.0, 225.0, 280.0, 440.0, 490.0, 185.0, 80.0, 440.0]"
458,24,5,0.1,0.9,Low,NM,65951.36281,99.84924329,"[904.9015738021253, 754.801274724779, 741.7163775846764, 464.55903617574967, 552.9200845240164]","[802.8952149671863, 382.00962777194036, 341.1269097791885, 313.5604113826106, 420.6749956700849]"
334,25,3,0.1,0.7,High,NM,357042.4583,71.78632645,"[93.09586723001776, 125.85408805780669, 685.1068831462012]","[34.46516155093677, 69.36274985464678, 666.8347646007536]"
300,26,10,0.5,0.7,High,ACO,185514.1888,90.86926303,"[615.0, 180.0, 710.0, 545.0, 315.0, 165.0, 135.0, 780.0, 675.0, 255.0]","[585.0, 175.0, 370.0, 275.0, 190.0, 90.0, 120.0, 485.0, 180.0, 210.0]"
899,27,10,0.1,0.9,High,GA,126588.2004,98.1673089,"[235.91, 810.43, 321.11, 808.02, 800.47, 513.76, 868.74, 933.98, 708.23, 88.47]","[98.86276620459137, 510.14667163566907, 218.49675622656196, 47.23978589516398, 168.86489174879028, 366.92885776630436, 272.80661264174796, 550.7229880541275, 679.1489553436162, 25.11412345768883]"
331,28,3,0.1,0.7,Medium,GA,248467.8686,78.95901915,"[432.43, 965.07, 1.81]","[73.99220349244746, 830.2690941223543, 0.308681057752016]"
251,29,10,0.1,0.9,High,GA,111142.0416,98.35991687,"[930.08, 284.49, 614.67, 125.33, 727.55, 400.27, 311.27, 1.65, 603.01, 662.75]","[598.3179442794226, 97.71901850898045, 187.99915317695064, 70.40319647581872, 189.0674525640326, 359.97091879545496, 185.75850764526672, 0.41657684931845823, 546.3446632006409, 44.7327661632583]"
964,30,10,0.5,0.9,Low,ACO,102090.1162,98.55165076,"[250.0, 630.0, 355.0, 365.0, 435.0, 245.0, 640.0, 305.0, 450.0, 750.0]","[100.0, 610.0, 200.0, 100.0, 250.0, 160.0, 615.0, 155.0, 210.0, 230.0]"
799,31,5,0.25,0.7,Medium,GA,194012.9665,85.18920666,"[757.05, 453.89, 219.27, 625.24, 592.73]","[684.9895979746415, 347.6007422571809, 144.21704766703598, 281.0987082029572, 482.9644518329776]"
511,32,5,0.5,0.7,Medium,GA,165663.8452,88.36678174,"[620.29, 264.21, 33.67, 198.89, 940.1]","[379.6531449194279, 16.839457585532017, 22.31748141084887, 88.10648224303698, 925.9218011168816]"
754,33,3,0.5,0.9,High,NM,131573.5747,92.74308058,"[363.16473564851145, 203.57878532695653, 698.0872716308551]","[265.7993976891823, 159.97489888053698, 529.9809686174477]"
778,34,5,0.1,0.8,High,NM,80896.16327,99.02286096,"[920.3403909729802, 651.0178747321396, 1106.4726164262236, 433.42338124656925, 373.96769345566196]","[920.3403909729802, 565.9441315882223, 1009.6029503215732, 433.42338124656925, 1.9955369798056877]"
822,35,5,0.25,0.9,Medium,NM,83998.14924,96.08785119,"[385.91197033514413, 422.6913469125927, 492.3229057552862, 396.16616511195, 321.9438155146619]","[117.85055992635694, 197.4947893912337, 305.7907426880692, 132.18189551968774, 157.0825031148988]"
227,36,10,0.1,0.7,High,GA,166880.2335,94.3073105,"[637.7, 566.09, 899.33, 688.34, 520.05, 483.27, 252.76, 199.81, 6.0, 532.21]","[187.4648072930148, 546.9527127906763, 579.2125610477002, 678.8867022733945, 223.51676851001164, 257.13921788110423, 116.5549945926118, 143.9038134513369, 4.932246032947295, 523.6657401164935]"
234,37,10,0.1,0.8,Medium,NM,91892.49267,99.68254452,"[552.6862034131285, 451.65642494589235, 377.44968520739724, 473.0483294471591, 587.3906850729369, 508.06894835199677, 688.7030016679491, 426.852163317095, 521.5100111057078, 649.9028532307337]","[303.6930709470248, 256.9744014849745, 231.5894632410894, 235.89158446026374, 302.36913350970826, 133.61357974132156, 482.0842391388971, 251.61665070327265, 254.37434545964095, 354.213685590872]"
697,38,3,0.25,0.8,Low,RD,121981.9886,91.8328859,"[445.87320493635997, 976.8591810599013, 998.3630474172123]","[306.42070429136976, 885.6124676680168, 347.7793063454483]"
907,39,10,0.25,0.7,Medium,GA,113157.0886,98.59920411,"[276.17, 740.16, 949.87, 357.33, 185.46, 981.34, 70.68, 972.43, 907.92, 724.39]","[55.051285707373424, 546.7479517249193, 814.6169134636366, 157.37045394925323, 100.65056407887776, 547.5252311246529, 28.472892432443253, 560.3379524511759, 609.3126167928127, 62.79544446429755]"
785,40,5,0.1,0.9,Medium,RD,72012.86341,98.63965303,"[444.59357886126793, 667.2348327545425, 547.8148415161631, 364.4688839551912, 232.55194172791903]","[287.962438245104, 529.1654738537522, 434.17729963078733, 322.69270043261207, 146.29432206114294]"
272,41,10,0.25,0.8,Medium,ACO,109601.5966,99.15867615,"[685.0, 675.0, 640.0, 290.0, 560.0, 525.0, 245.0, 875.0, 455.0, 945.0]","[495.0, 580.0, 320.0, 150.0, 170.0, 375.0, 40.0, 605.0, 100.0, 375.0]"
800,42,5,0.25,0.7,Medium,ACO,207495.0854,83.95906543,"[230.0, 775.0, 695.0, 585.0, 370.0]","[105.0, 730.0, 675.0, 225.0, 85.0]"
493,43,5,0.25,0.9,Low,RD,77030.41399,98.42135708,"[890.7023089044054, 496.15501451428, 519.7087268650645, 175.21518594674112, 533.5995735513545]","[242.9047488172809, 372.7116513904306, 227.61248987679699, 115.75532084796419, 479.2187024542165]"
88,44,3,0.5,0.8,Low,ACO,96856.29801,94.42495187,"[710.0, 780.0, 475.0]","[680.0, 460.0, 225.0]"
56,45,3,0.25,0.8,Medium,ACO,141604.7021,91.1895413,"[905.0, 785.0, 85.0]","[710.0, 675.0, 35.0]"
656,46,3,0.1,0.7,Medium,ACO,226393.2478,81.07881294,"[985.0, 685.0, 970.0]","[810.0, 655.0, 800.0]"
80,47,3,0.5,0.7,Medium,ACO,154537.5909,88.80902605,"[765.0, 980.0, 415.0]","[725.0, 460.0, 295.0]"
19,48,3,0.1,0.8,Medium,GA,175940.3451,85.73410649,"[850.46, 999.3, 445.1]","[643.2468958911948, 122.25686261818245, 344.75011999150496]"
453,49,5,0.1,0.8,High,RD,133160.3018,92.91683098,"[695.1810033905904, 728.0689224016857, 101.52979073672785, 972.5615205754103, 335.4865535253172]","[556.5189633181367, 630.0743800105175, 63.700866317972114, 243.19749372362742, 209.90329868217367]"
766,50,5,0.1,0.7,High,NM,136091.1948,91.91184432,"[1579.928406401703, 254.6759967979786, 343.97190399990603, 1003.8665216011905, 799.4589600015422]","[1376.8905451633932, 155.17011174150957, 93.43541445471992, 0.0, 358.3626322660187]"
79,51,3,0.5,0.7,Medium,GA,193091.4139,84.62397339,"[521.74, 733.88, 608.26]","[494.2924056002609, 171.25754246806073, 214.43910428283954]"
933,52,10,0.25,0.9,High,RD,107963.2478,98.96293951,"[682.4616079888299, 597.3506736924862, 577.9043307528433, 189.92164193243954, 495.7862710685402, 461.8221756410462, 710.3093576584452, 43.606410980142726, 116.64078100309305, 132.06874261743474]","[657.9788751803519, 505.5374153657469, 558.4578861785485, 0.8125095374941045, 162.11195822765495, 160.00119810193766, 628.4262418719044, 3.0321762569710415, 79.48221682603457, 43.475136324259694]"
432,53,3,0.5,0.9,High,ACO,95160.84981,97.09425341,"[910.0, 810.0, 765.0]","[735.0, 745.0, 645.0]"
12,54,3,0.1,0.7,High,ACO,239889.8084,79.25370961,"[910.0, 565.0, 395.0]","[865.0, 525.0, 285.0]"
155,55,5,0.25,0.7,High,GA,206808.0806,84.12420768,"[237.28, 419.93, 19.48, 636.25, 724.65]","[178.59063373055136, 152.39086533162566, 0.6034195452467367, 109.51196340174924, 550.1306791646159]"
932,56,10,0.25,0.9,Medium,ACO,95654.51094,98.52704027,"[425.0, 440.0, 615.0, 615.0, 390.0, 670.0, 170.0, 785.0, 175.0, 320.0]","[205.0, 220.0, 210.0, 90.0, 250.0, 420.0, 45.0, 55.0, 115.0, 195.0]"
134,57,5,0.1,0.9,Low,NM,69581.79973,97.90371593,"[385.8108970373562, 524.0213435038329, 430.35074020945467, 394.5765339912192, 544.7664358102053]","[180.1460581669274, 295.3850485916453, 376.3663604628, 174.90363645598563, 314.7855366193251]"
404,58,3,0.5,0.7,Medium,ACO,178602.5782,85.50549234,"[885.0, 265.0, 545.0]","[340.0, 25.0, 435.0]"
193,59,5,0.5,0.8,Low,RD,104884.5755,95.54496909,"[380.3138797367489, 780.5579517522323, 857.2025650227092, 506.9197303064352, 434.08044215726494]","[304.29190061653753, 754.051518644685, 767.0790528569254, 407.51378002309735, 100.4940390864816]"
960,60,10,0.5,0.8,High,ACO,123290.0537,97.08313703,"[845.0, 535.0, 310.0, 200.0, 190.0, 630.0, 785.0, 700.0, 525.0, 100.0]","[765.0, 230.0, 80.0, 85.0, 135.0, 125.0, 625.0, 565.0, 125.0, 50.0]"
647,61,10,0.5,0.9,High,GA,153137.3132,96.33661926,"[696.13, 80.01, 377.96, 394.54, 857.46, 837.94, 985.39, 560.82, 293.41, 975.27]","[610.5326262912414, 6.479256992430114, 247.9352508383876, 11.173340037000374, 192.2689702977189, 399.0558021507086, 25.542998193973148, 465.89372297006787, 66.93838843950032, 768.2162441136236]"
359,62,3,0.1,0.9,High,GA,90443.26168,94.54057708,"[473.93, 425.78, 800.37]","[402.0714969540122, 220.13677581356689, 162.02875222165645]"
759,63,5,0.1,0.7,Low,GA,240219.1691,79.72467817,"[776.53, 649.15, 200.81, 546.59, 446.5]","[119.44206726536119, 401.97116959302696, 75.54888833472, 336.03018149183373, 131.8052405227651]"
632,64,10,0.5,0.8,Medium,ACO,115357.7421,99.42304343,"[660.0, 230.0, 465.0, 940.0, 765.0, 310.0, 845.0, 725.0, 560.0, 175.0]","[235.0, 165.0, 375.0, 580.0, 75.0, 310.0, 475.0, 115.0, 325.0, 120.0]"
916,65,10,0.25,0.8,Low,ACO,108499.3618,99.82601867,"[705.0, 425.0, 440.0, 750.0, 355.0, 470.0, 755.0, 920.0, 830.0, 690.0]","[585.0, 280.0, 250.0, 485.0, 105.0, 365.0, 170.0, 745.0, 420.0, 345.0]"
544,66,10,0.1,0.7,Low,ACO,125846.8373,98.83529785,"[780.0, 380.0, 815.0, 550.0, 645.0, 930.0, 915.0, 135.0, 770.0, 675.0]","[755.0, 260.0, 410.0, 475.0, 120.0, 550.0, 810.0, 110.0, 455.0, 305.0]"
358,67,3,0.1,0.9,High,NM,90950.69134,95.36247687,"[777.7356951994091, 933.7535660980446, 146.02842461338275]","[464.1297159737775, 765.3385475002921, 29.940843832512627]"
826,68,5,0.25,0.9,High,NM,73215.542,97.61201628,"[560.4150020800636, 286.26584219426405, 317.16329894457846, 156.66170980782104, 737.8100333127794]","[319.6509992274316, 141.30123776583056, 130.30702080925704, 40.762116706794814, 301.5389508251929]"
